Unnamed: 0,target,generated_val
10,"Merge dev branch
",# Update README.md
11,"Parse variables without whitespace separator correctly for CentOS/RHEL/Fedora
When parsing /etc/sysconfig/httpd to find out Define statements on Apache command line, Certbot fails to parse variables without whitespace separator, for example -DSSL compared to -D SSL.

Fixes: #5317 ",# Apache: handle -D vars with no whitespace separatorFixes #4444.
12,"BUG: ensure the global _console object is initialized properly when rich.reconfigure is called
## Type of changes

- [x] Bug fix
- [ ] New feature
- [ ] Documentation / docstrings
- [ ] Tests
- [ ] Other

## Checklist

- [x] I've run the latest [black](https://github.com/psf/black) with default args on new code.
- [x] I've updated CHANGELOG.md and CONTRIBUTORS.md where appropriate.
- [ ] I've added tests for new code.
- [x] I accept that @willmcgugan may be pedantic in the code review.

(really not sure how to test this properly)

## Description

fix #1425

",# Fix crash when calling `rich.reconfigure` in `pytest_configure`
13,"Namedays - additional countries supported
I would like to have list of supported countries in the description as it will be helpful for other developers.


Thank you for taking the time to work on a Pull Request for this project!

To ensure your PR is dealt with swiftly please check the following:

- [x] Your submissions are formatted according to the guidelines in the [contributing guide](CONTRIBUTING.md)
- [x] Your additions are ordered alphabetically
- [x] Your submission has a useful description
- [x] The description does not end with punctuation
- [x] Each table column should be padded with one space on either side
- [x] You have searched the repository for any relevant issues or pull requests
- [x] Any category you are creating has the minimum requirement of 3 items
",# Update README.md
14,"car info: function that sorts all car info into tiers
One function returns all car info in a list, sorted by make and model, another sorts that into tiers and make and model.

So we can pass this into the website template for harness information without it being in tiers and get correct natural sorting",# car/docs: generate cars.md with all cars
15,"Fix release script
",# Release script: ensure leauto is signed
16,"Invert logo color for dark theme
We can check the result here:
https://github.com/Sea-n/wtfpython#readme",# Add dark mode logo
17,"NMS --classes 0 bug fix
I found that if I use only 0 to filter the classes in the non_max_suppression then it won't go through the if statement for the classes. Therefore I added a quick fix.

```python
if classes is not None:
    x = x[(x[:, 5:6] == torch.tensor(classes, device=x.device)).any(1)]

## 🛠️ PR Summary

<sub>Made with ❤️ by [Ultralytics Actions](https://github.com/ultralytics/actions)<sub>

### 🌟 Summary
Enhancement of class filtering in non-maximum suppression function.

### 📊 Key Changes
- Updated the condition for class filtering from `if classes:` to `if classes is not None:`

### 🎯 Purpose & Impact
- **Purpose:** Ensure that class filtering is correctly applied only when `classes` variable is explicitly set, not just when it's truthy.
- **Impact:** Prevents potential bugs and makes behavior more predictable for end-users when specifying classes for object detection models. This should improve the model's accuracy in scenarios where selective class detection is needed. 🎯🐞

This change will not be immediately noticeable to end-users but ensures more reliable and precise object detection in development.",# Fix for None class
18,"Fix test timeouts on Travis
This should fix current build failure with timeout
https://travis-ci.org/github/chubin/cheat.sh/builds/741308362#L402",# Travis CI: fix timeout
19,"Update NMS `max_wh=7680` for 8k images
In response to discussion on 8k inference in #6137 

## 🛠️ PR Summary

<sub>Made with ❤️ by [Ultralytics Actions](https://github.com/ultralytics/actions)<sub>

### 🌟 Summary
Increased maximum bounding box size in NMS.

### 📊 Key Changes
- The maximum width and height for bounding boxes in non-maximum suppression (NMS) has been increased from 4096 to 7680 pixels.

### 🎯 Purpose & Impact
- 📈 This change allows the system to handle larger images, which could be beneficial for high-resolution datasets.
- 🌐 Users working with high-resolution imagery will benefit from this change as it improves the model's ability to detect large objects.
- 💡 There should be minimal impact on existing users unless they work with high-resolution images, where they'll see improved detection capabilities.",# Update general.py
20,"Added new backpropagation tool for Python
",# Added XAD
21,"[Core][nightly test] add dataset shuffle data loader test
This adds tests for dataset shuffle data loader (https://github.com/ray-project/ray/issues/17553).

running: https://beta.anyscale.com/o/anyscale-internal/projects/prj_SVFGM5yBqK6DHCfLtRMryXHM/clusters/ses_mfZFWrXQ8X681qTEVfewUZFe",# [release] Add dataset shuffle benchmark
22,"Updated flyweight with metaclass, made it more generic
I guess current implementation is not clean enough.
Updated implementation will work for python2, for python3 minor updates are required
",# Flyweight with metaclass
23,"[ci] replace the ngc docker image with self-built pytorch image
Fixed the workflow problem mentioned in #671 .",# [ci] use frankleeeee/pytorch-cuda as ci image
24,"build: Fix defining env var for webpack
Fixes overriding the Sentry Release version in the frontend using an environment variable. We were not defining the env var in webpack configuration.",# feat: Add SENTRY_RELEASE_VERSION to webpack config
25,"Redirect to chat page after login
",# Redirect to chat after login
26,"Update faq.rst
It seems that spider.DOWNLOAD_DELAY is deprecated.
",# Fix typo in FAQ
27,"Update CHANGELOG.md
My bad I didn't notify that I was still making changes... 
Here the last changes with all the versions.
",# Update changelog
28,"Deleted minmax.py. Fixes #8098
### Describe your change:
Fixes #8098
There were two identical files with the same filename minmax.py. 
Deleted one minmax.py

* [ ] Add an algorithm?
* [ ] Fix a bug or typo in an existing algorithm?
* [ ] Documentation change?

### Checklist:
* [x] I have read [CONTRIBUTING.md](https://github.com/TheAlgorithms/Python/blob/master/CONTRIBUTING.md).
* [x] This pull request is all my own work -- I have not plagiarized.
* [x] I know that pull requests will not be merged if they fail the automated tests.
* [x] This PR only changes one algorithm file.  To ease review, please open separate PRs for separate algorithms.
* [x] All new Python files are placed inside an existing directory.
* [x] All filenames are in all lowercase characters with no spaces or dashes.
* [x] All functions and variable names follow Python naming conventions.
* [x] All function parameters and return values are annotated with Python [type hints](https://docs.python.org/3/library/typing.html).
* [x] All functions have [doctests](https://docs.python.org/3/library/doctest.html) that pass the automated testing.
* [ ] All new algorithms include at least one URL that points to Wikipedia or another similar explanation.
* [x] If this pull request resolves one or more open issues then the description above includes the issue number(s) with a [closing keyword](https://docs.github.com/en/issues/tracking-your-work-with-issues/linking-a-pull-request-to-an-issue): ""Fixes #ISSUE-NUMBER"".
",# Remove minimax.py
29,"add opt. service deps, opt-in services to test selection
## Motivation
Now that we have the selective test execution for opt-in services introduced in https://github.com/localstack/localstack/pull/10301, we can onboard additional services to the test selection.
In this PR I added the services I own to the list (😻), but it might make sense to collect the first iteration of opt ins here and merge them together.
So please feel free to push to this PR if you want the tests of your service being selectively executed in PRs here.
In order to to so, just:
1. Make sure the mandatory and optional service dependencies in `localstack/utils/bootstrap.py` are correct.
  - They should list your service (if it's not completely self-contained).
  - `API_DEPENDENCIES`
    - This mapping states that a service requires one or more other services to provide it's basic functionality.
    - f.e. the following example means that `firehose` depends on `kinesis` to work: 
      ```python
      ""firehose"": [""kinesis""],
      ```
 - `API_DEPENDENCIES_OPTIONAL`
   - This mapping states that a service needs one or more other services for certain non-basic parts, f.e. with optional integrations.
   - On the example of `firehose` that would be at least `opensearch` and `elasticsearch`, because these are _potential_ targets for `firehose` streams.
2. Add your service provider code and the test code to the `OPT_IN`. The list is alphabetically sorted, I expect it to grow quite fast (and then become obsolete).

## Changes
- Introduces the notion of optional service dependencies, in contrast to ""normal"" / mandatory service dependencies.
- Adds the following services to the Opt-In of the selective test execution:
  - ACM
  - ElasticSearch
  - OpenSearch
  - SNS

## TODO
- [x] Discuss if we should split the optional from the mandatory service dependency definition.
  - `API_DEPENDENCIES` is used for strict service loading, where it is used as a mandatory service definition.
    - f.e. `lambda` cannot work without `s3` and `sts`
  - For the test selection, we are using this mapping for all dependencies (including optional dependencies).
    - f.e. `firehose` can work without `opensearch` for as long as you don't use it as a target. However, it cannot work without `kinesis` at all.
  - /cc @bentsku @steffyP @thrau",# Add optional service dependencies
30,"Add option `--no-break-on-existing`
<details open><summary>Template</summary> <!-- OPEN is intentional -->

### Before submitting a *pull request* make sure you have:
- [x] At least skimmed through [contributing guidelines](https://github.com/yt-dlp/yt-dlp/blob/master/CONTRIBUTING.md#developer-instructions) including [yt-dlp coding conventions](https://github.com/yt-dlp/yt-dlp/blob/master/CONTRIBUTING.md#yt-dlp-coding-conventions)
- [x] [Searched](https://github.com/yt-dlp/yt-dlp/search?q=is%3Apr&type=Issues) the bugtracker for similar pull requests
- [x] Checked the code with [flake8](https://pypi.python.org/pypi/flake8) and [ran relevant tests](https://github.com/yt-dlp/yt-dlp/blob/master/CONTRIBUTING.md#developer-instructions)

### In order to be accepted and merged into yt-dlp each piece of code must be in public domain or released under [Unlicense](http://unlicense.org/). Check all of the following options that apply:
- [x] I am the original author of this code and I am willing to release it under [Unlicense](http://unlicense.org/)

### What is the purpose of your *pull request*?
- [x] Core bug fix/improvement

</details>
",# Add --no-break-on-existing option
31,"merge C.151 into R.22, leaving a redirect behind
this applies the directions from https://github.com/isocpp/CppCoreGuidelines/issues/1612#issuecomment-639026822",# C.151: Use `make_shared()` to construct objects owned by `shared_ptr`s
32,"Proper handling of output values in Masking layer
The following - rather artificial - example shows a potential flaw in the current masking approach:

``` python
X = np.asarray([[[1e+30]]])
y = np.ones((1, 1, 1))

model = Sequential()
model.add(Masking(mask_value=1e+30))
model.add(SimpleRNN(1, 1, init='one', activation='relu', return_sequences=True))
model.compile(loss='mse', optimizer='sgd')

logs = model.fit(X, y, nb_epoch=3)
```

Produces the following output:

```
Epoch 0
1/1 [==============================] - 0s - loss: inf
Epoch 1
1/1 [==============================] - 0s - loss: nan
Epoch 2
1/1 [==============================] - 0s - loss: nan
```

**Explanation:** In all recurrent layers, the input value is multiplied with some matrix (usually `W`) before the time dimension is evaluated (Theano `scan`). The mask is currently only applied within the Theano `scan` loop, whereas the first multiplication is unmasked. This works fine as long as `0` is chosen as a `mask_value`. For other values this however results in unwanted behavior, as shown here for the extreme case of `mask_value=1e+30`.

**Fix:** By replacing all the values which are to be masked with `0` in the output of the `Masking` layer, everything works again as expected.
",# Masking layer with non-zero mask value
33,"unused local variable acrobot
remove redundant local variable",# Fix acrobot.py
34,"Add vicuna dataset
#2341

This PR adds the vicuna dataset. We use the filtered vicuna dataset since it only contains english conversations.

The sanity checks are necessary here and filter quite a number of IMO unuseful conversations (where the conversation is empty, where we have less than 2 speakers and where the speakers are not in adjacent order). After all filterings we are left with 84260 of 85071 conversations.",# Add Vicuna dataset
35,"jenkins: don't rely on SSH params
",# ci: setup ssh on ci
36,"add a node to allow growing of masks through dilation
Currently there is no way to expand masks (the actual masked values not the image borders). Scipy is already a project dependancy, so its dilate_grayscale_mask would be a lightweight solution.",# Add GrowMask
37,"Refs #31407 -- Handled potential exception in test cleanup.
The test view may not be called when running the tests with
--parallel=2 or greater. Catch the AttributeError for this case.

Seen reviewing #15421 (on macOS)

```
% ./runtests.py --parallel 2 handlers 
Testing against Django installed in '/Users/carlton/Projects/Django/django/django' with up to 2 processes
Found 31 test(s).
Creating test database for alias 'default'...
Cloning test database for alias 'default'...
Cloning test database for alias 'default'...
System check identified no issues (0 silenced).
...............................
Exception ignored in: <function CoroutineClearingView.__del__ at 0x106dfa7a0>
Traceback (most recent call last):
  File ""/Users/carlton/Projects/Django/django/tests/handlers/views.py"", line 70, in __del__
AttributeError: 'CoroutineClearingView' object has no attribute '_unawaited_coroutine'

----------------------------------------------------------------------
Ran 31 tests in 0.289s

OK
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
Destroying test database for alias 'default'...
```

It comes up because each process gets an instance of `CoroutineClearingView()` but only one of them runs the test to call it, setting the attribute. 

@felixxm reports **not** seeing the error doing the same on Linux. 🤔

//cc @smithdc1 ",# Fix test failure on Python 3.7
38,"Add Groq and Openai interfaces, Add integration tests
",# Add Openai provider
39,"Publishing on PyPI
These changes enable **automatic publishing of manim** to http://pypi.org. You just need to set a **git tag** - that's it!

```
git tag v0.1.4
git push --tags
```
(I've created some tags to test while developing this feature, so the version on PyPI is now on v0.1.3)

It does so by using the ""deploy"" task of travis. To demonstrate it, I've checked in the credentials of my PyPI account. It probably won't work after merging, since the credentials are encrypted for my travis account. Please, tell me your PyPI user accounts, so I'll give you full owner permissions for https://pypi.org/project/manimlib/ (@eulertour , @3b1b).

After creating your accounts, please install travis-cli and login

```
sudo gem install travis
travis login
```

Then, change the travis section to add your credentials, by executing this inside the project directory:

```
travis encrypt your-password-here --add deploy.password
```

(More exhaustive documentation at https://docs.travis-ci.com/user/deployment/pypi/)

Also note that I made some changes to `setup.py`. I'm using [pbr](https://docs.openstack.org/pbr/latest/). It automatically sets the right version of the package by looking at the git tags. Also, it uses the `requirements.txt` file, so we don't need to maintain a second dependency list inside `setup.py`

<s>The big_ol_pile_of_manim_imports was moved in large parts to `manimlib/shortcuts.py`. The ""scripts"" section in setup.py is meant to be for scripts you can use from the command line and can't be used to import stuff from. So I needed to move the shortcuts inside the manimlib package. To maintain compatibility, I'm importing in the big_ol_pile everything from `manimlib/shortcuts.py`</s>

Just saw that you created `manimlib/imports.py`. I'm removing my shortcuts, give me a second.",# Make manim a package
40,"ref(profiling): Clarify suspect functions are total time
Suspect functions use total time, make that clear in the table headers.

Closes getsentry/team-profiling#102
Closes getsentry/team-profiling#110",# Update column names in profiling table
41,"Add url and typing hint for BFS
### **Describe your change:**

Add typing for bfs and make the code more brief.

* [ ] Add an algorithm?
* [ ] Fix a bug or typo in an existing algorithm?
* [x] Documentation change?

### **Checklist:**
* [x] I have read [CONTRIBUTING.md](https://github.com/TheAlgorithms/Python/blob/master/CONTRIBUTING.md).
* [x] This pull request is all my own work -- I have not plagiarized.
* [x] I know that pull requests will not be merged if they fail the automated tests.
* [x] This PR only changes one algorithm file.  To ease review, please open separate PRs for separate algorithms.
* [x] All new Python files are placed inside an existing directory.
* [x] All filenames are in all lowercase characters with no spaces or dashes.
* [x] All functions and variable names follow Python naming conventions.
* [x] All function parameters and return values are annotated with Python [type hints](https://docs.python.org/3/library/typing.html).
* [x] All functions have [doctests](https://docs.python.org/3/library/doctest.html) that pass the automated testing.
* [x] All new algorithms have a URL in its comments that points to Wikipedia or other similar explanation.
* [x] If this pull request resolves one or more open issues then the commit message contains `Fixes: #{$ISSUE_NO}`.
",# Rename bfs.py to breadth_first_search_2.py
42,"Updated Travis CI URL in README
The old URL appears to be broken, redirecting to https://travis-ci.org//kennethreitz/requests

Also, according to [their wiki](http://about.travis-ci.org/docs/user/status-images/) the _secure_ isn't required anymore.
",# Update README.rst
43,"fix: elevenlabs removed the need for the api key for refreshing voices
As per [this commit](https://github.com/elevenlabs/elevenlabs-python/commit/ba8b1775354db2f6d865c35c38816c19f2a50258)
The `refresh_voices()` function now no longer takes the `api_key` parameter for security reasons. This was causing the error ""TypeError: voices() got an unexpected keyword argument 'api_key'""",# Fix ElevenLabs TTS extension
44,"fix raise from None
## Type of changes

- [ ] Bug fix
- [ ] New feature
- [ ] Documentation / docstrings
- [ ] Tests
- [ ] Other

## Checklist

- [ ] I've run the latest [black](https://github.com/psf/black) with default args on new code.
- [ ] I've updated CHANGELOG.md and CONTRIBUTORS.md where appropriate.
- [ ] I've added tests for new code.
- [ ] I accept that @willmcgugan may be pedantic in the code review.

## Description

Fixes https://github.com/willmcgugan/rich/issues/468
",# Fix #468
45,"deepface + retinaface + chefboost
I added open source deepface, retinaface and chefboost project here.","# Added deepface, retinaface, chefboost"
46,"[common] retry if response.read() timeout
Recently I started to get timeout in response.read(), this commit will make it retry automatically if timeout.",# fix #1115
